interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
no,no,2/28/03,46,Female,2,N/A,3.7,yes,no,yes,0,no,no,older
no,no,7/16/04,41,Female,1,3.63,3.96,yes,no,yes,16,no,no,older
no,no,8/2/04,43,Female,2,3.04,3.91,yes,no,yes,7,no,no,older
no,no,4/4/03,41,Female,2,2.3,3.41,yes,no,no,0,no,no,older
no,no,5/7/04,41,Female,2,2.04,3.73,yes,no,yes,0,no,no,older
no,no,8/12/03,43,Female,2,N/A,3.9,pending,no,yes,0,no,no,older
no,no,8/24/04,59,Female,2,2.71,N/A,yes,no,yes,9,no,no,older
no,no,2/19/03,NA,Female,2,N/A,3.6,yes,no,yes,0,no,no,NA
no,no,1/29/03,NA,Male,2,N/A,N/A,no,no,no,8,no,no,NA
no,no,6/3/03,40,Female,2,3.71,N/A,no,no,yes,2,yes,no,older
no,no,1/24/05,40,Female,2,2.42,N/A,no,yes,no,14,no,no,older
no,no,6/14/04,52,Female,2,3.28,N/A,no,no,yes,11,no,no,older
no,no,8/7/04,53,Female,2,2.66,3.8,yes,no,yes,18,no,no,older
no,no,7/29/04,46,Female,2,3,N/A,no,no,yes,9,no,no,older
no,no,4/15/03,43,Female,2,3.09,4,yes,no,yes,21,no,no,older
no,no,8/4/03,45,Female,2,3.5,N/A,no,no,yes,7,no,no,older
no,no,3/24/04,43,Female,1,2.99,3.93,yes,yes,yes,5,no,no,older
no,no,3/19/04,40,Female,2,2.98,3.34,yes,no,yes,10,yes,no,older
no,no,6/16/03,50,Female,2,2.98,3.34,yes,no,yes,0,no,no,older
no,no,8/13/03,48,Female,2,3.15,3.54,yes,yes,yes,4,no,no,older
no,no,6/14/04,48,Female,2,3.01,N/A,no,yes,yes,11,no,no,older
no,no,6/11/04,45,Female,2,3.58,N/A,no,no,yes,13,no,no,older
no,no,5/10/03,48,Female,2,3.83,N/A,pending,yes,yes,4,no,no,older
no,no,7/21/04,47,Female,1,N/A,3.88,yes,no,yes,25,no,no,older
no,no,7/4/04,51,Female,2,N/A,N/A,yes,,,,,,older
no,no,6/18/04,43,Female,2,3.47,3.94,yes,no,yes,23,no,no,older
no,no,4/30/03,40,Female,2,2.79,3.97,yes,no,yes,15,no,no,older
no,no,8/18/04,50,Female,2,3.62,N/A,pending,yes,yes,5,yes,no,older
no,no,3/18/03,49,Female,2,2.9,N/A,pending,no,no,21,no,no,older
no,no,7/19/04,55,Female,1,N/A,N/A,no,no,yes,32,yes,no,older
no,no,7/6/04,56,Female,2,N/A,3.87,yes,yes,yes,21,no,no,older
no,no,7/4/04,42,Female,2,2.86,3.8,yes,no,yes,1,no,no,older
no,no,4/12/03,41,Female,2,N/A,4,yes,yes,yes,13,yes,no,older
no,no,6/2/03,49,Female,2,2.98,N/A,no,yes,yes,0,no,no,older
no,no,6/26/03,44,Female,2,2.86,3.94,yes,yes,yes,25,yes,no,older
